iter	RMSE
0	142.5732413
1	137.7064168
2	132.6289879
3	128.5431773
4	127.3744534
5	123.6985078
6	120.6128886
7	117.6584471
8	114.8600855
9	111.8800153
10	109.4906432
11	108.371243
12	106.2812197
13	105.6911663
14	104.2381982
15	102.8761334
16	101.9852325
17	100.2249867
18	98.84020775
19	98.12186296
20	97.07290654
21	94.73747679
22	94.20609237
23	93.16975934
24	92.76997213
25	91.51711948
26	91.25616119
27	90.96407046
28	90.48444732
29	89.62072767
30	89.33011034
31	88.7313369
32	88.28033835
33	87.53549722
34	87.24991526
35	85.28987994
36	85.1112188
37	84.89446103
38	84.51094178
39	84.16444597
40	83.65274118
41	83.35805175
42	83.2070456
43	82.0708651
44	81.80608601
45	81.42584559
46	80.84166502
47	80.69125394
48	80.59602517
49	80.32134725
50	79.75335642
51	79.45063959
52	78.86554075
53	78.58876848
54	78.5022167
55	78.05524432
56	77.63924744
57	77.39009394
58	75.95718771
59	75.85000856
60	75.68136487
61	75.62770445
62	75.5277952
63	75.29793912
64	75.24477549
65	75.02864818
66	74.91180629
67	74.63448048
68	74.54751639
69	74.03050381
70	73.76516709
71	73.71232344
72	73.64987416
73	73.58778197
74	73.3708651
75	73.30506244
76	73.06548421
77	72.60044609
78	72.39577672
79	72.16621331
80	71.9976154
81	71.81056757
82	71.59572634
83	71.46088111
84	71.39357547
85	70.00217619
86	68.98142511
87	68.87932198
88	68.80707912
89	68.7661245
90	67.6873396
91	67.52643625
92	67.45419778
93	67.27507514
94	66.15394785
95	66.03577615
96	65.90897171
97	65.67761396
98	65.54061596
99	65.418445
100	65.37179223
101	65.23067218
102	64.79266449
103	64.75254622
104	64.56584014
105	64.43561526
106	64.07392282
107	63.82186301
108	63.70199351
109	63.49367817
110	63.10284156
111	62.34333549
112	62.20434177
113	61.95185825
114	61.78501962
115	61.4680399
116	61.38314764
117	60.70647015
118	60.66952056
119	60.43391156
120	60.21651369
121	60.08386614
122	59.92177509
123	59.7705743
124	59.73792009
125	59.66294089
126	59.52992073
127	58.91511816
128	58.86671128
129	58.69971864
130	58.64551781
131	58.49661611
132	58.3920051
133	58.14722925
134	58.10575987
135	57.92906581
136	57.90237963
137	57.84583562
138	57.28451779
139	56.8012685
140	56.68620855
141	56.53825962
142	56.31062876
143	56.15428521
144	56.03533094
145	55.82887618
146	55.65885387
147	55.60194415
148	55.16818255
149	55.06197329
150	54.94723077
151	54.823538
152	54.45587291
153	54.34967232
154	54.15048307
155	53.96833
156	53.81133064
157	53.69746987
158	53.63679885
159	53.21657722
160	53.04139365
161	52.86187286
162	52.76840095
163	52.61664723
164	52.53431086
165	52.3461009
166	52.17357209
167	52.0326107
168	51.84380925
169	51.78886125
170	51.6298949
171	51.42984759
172	51.39709891
173	51.25579716
174	51.17747101
175	51.07963659
176	50.98120031
177	50.82884151
178	50.699155
179	50.53062287
180	50.37088278
181	50.24837286
182	50.19103186
183	50.00607832
184	49.88990772
185	49.75949195
186	49.61268585
187	49.57491888
188	49.42384783
189	49.23504127
190	49.12218387
191	49.09954929
192	48.97043328
193	48.86166635
194	48.75338136
195	48.72410086
196	48.58883935
197	48.52627991
198	48.44281464
199	48.33514867
200	48.24172582
201	48.15788405
202	47.99194044
203	47.87961879
204	47.76369398
205	47.63453878
206	47.55886914
207	47.46037105
208	47.31681464
209	47.25990495
210	47.19816596
211	47.10129526
212	47.00677268
213	46.93725509
214	46.86305244
215	46.78481984
216	46.76750063
217	46.65015158
218	46.61367875
219	46.52579754
220	46.42761864
221	46.33810863
222	46.32056055
223	46.25226562
224	46.05318607
225	45.91146571
226	45.86877613
227	45.73161484
228	45.66809434
229	45.58040341
230	45.5218926
231	45.4506486
232	45.34497745
233	45.29316938
234	45.20188464
235	45.11075657
236	45.06964535
237	44.90467122
238	44.81811002
239	44.74281545
240	44.68142754
241	44.58064546
242	44.55420232
243	44.48731457
244	44.4435915
245	44.34834717
246	44.31333932
247	44.26066229
248	44.23742549
249	44.16058883
250	44.04970205
251	43.95955722
252	43.94693315
253	43.86557979
254	43.83074609
255	43.80084957
256	43.73992668
257	43.67746679
258	43.61713521
259	43.59599442
260	43.51901174
261	43.39018026
262	43.31059624
263	43.28270618
264	43.21954531
265	43.16763119
266	43.08848646
267	42.97775358
268	42.85177524
269	42.79997929
270	42.71651299
271	42.65699176
272	42.52866116
273	42.4831871
274	42.44805681
275	42.43186618
276	42.16589658
277	42.08959345
278	42.02382421
279	41.91319104
280	41.83393518
281	41.74400846
282	41.66585434
283	41.63882786
284	41.55641161
285	41.50003496
286	41.46176984
287	41.36133764
288	41.26755549
289	41.19143328
290	41.12891746
291	41.01409237
292	40.94495175
293	40.88761069
294	40.82338545
295	40.7337076
296	40.66328368
297	40.39519966
298	40.27816881
299	40.1496146
300	40.03519573
301	40.01773092
302	39.9673845
303	39.8921826
304	39.79172431
305	39.76697854
306	39.69709716
307	39.61298573
308	39.57249898
309	39.53407179
310	39.51521848
311	39.40404314
312	39.3729275
313	39.31912515
314	39.30845639
315	39.2725857
316	39.2066694
317	39.18563328
318	39.17173111
319	39.15543887
320	39.10420617
321	39.06171219
322	38.9949186
323	38.88961503
324	38.80674854
325	38.78717416
326	38.77433308
327	38.68760125
328	38.61623968
329	38.58488014
330	38.51834241
331	38.46885305
332	38.39709232
333	38.34267787
334	38.28846894
335	38.27691538
336	38.26676507
337	38.21395861
338	38.19570529
339	38.16106072
340	37.92861414
341	37.89720787
342	37.84614653
343	37.79060777
344	37.71997162
345	37.63293241
346	37.56774778
347	37.50118813
348	37.44201202
349	37.39568708
350	37.19148073
351	37.11545159
352	37.10295182
353	37.03496375
354	36.99104878
355	36.93501252
356	36.88102587
357	36.85146164
358	36.7973353
359	36.77544741
360	36.7078673
361	36.63426725
362	36.54257052
363	36.48878579
364	36.42610123
365	36.36308223
366	36.31086501
367	36.26950666
368	36.2260155
369	36.18204627
370	36.12473732
371	36.04100716
372	35.99552023
373	35.94188742
374	35.90884206
375	35.85920358
376	35.82372506
377	35.77637417
378	35.73521001
379	35.65745138
380	35.62628409
381	35.5969881
382	35.57962383
383	35.51518384
384	35.45384293
385	35.40646908
386	35.38801742
387	35.35025086
388	35.29801596
389	35.22089591
390	35.19256909
391	35.15216225
392	35.14081555
393	35.11984837
394	35.06670343
395	35.03496623
396	34.98888471
397	34.92437337
398	34.85584281
399	34.80283371
400	34.77312516
401	34.75295908
402	34.70578614
403	34.65461609
404	34.48855881
405	34.44843216
406	34.35561545
407	34.32955066
